tag,yr,mo,total
"java","2008","8","220"
"java","2008","9","1138"
"java","2008","10","1152"
"java","2008","11","959"
"java","2008","12","832"
"java","2009","1","1152"
"java","2009","2","1207"
"java","2009","3","1440"
"java","2009","4","1535"
"java","2009","5","1822"
"java","2009","6","2117"
"java","2009","7","2266"
"java","2009","8","2194"
"java","2009","9","2266"
"java","2009","10","2508"
"java","2009","11","2763"
"java","2009","12","2690"
"java","2010","1","3731"
"java","2010","2","3584"
"java","2010","3","4453"
"java","2010","4","3893"
"java","2010","5","4180"
"java","2010","6","4293"
"java","2010","7","4525"
"java","2010","8","4713"
"java","2010","9","4722"
"java","2010","10","5037"
"java","2010","11","5608"
"java","2010","12","5687"
"java","2011","1","6564"
"java","2011","2","6906"
"java","2011","3","8523"
"java","2011","4","7935"
"java","2011","5","8603"
"java","2011","6","7954"
"java","2011","7","8195"
"java","2011","8","8724"
"java","2011","9","8363"
"java","2011","10","8591"
"java","2011","11","9690"
"java","2011","12","9252"
"java","2012","1","10202"
"java","2012","2","11064"
"java","2012","3","12515"
"java","2012","4","12135"
"java","2012","5","12279"
"java","2012","6","11179"
"java","2012","7","12325"
"java","2012","8","12307"
"java","2012","9","11662"
"java","2012","10","13553"
"java","2012","11","13670"
"java","2012","12","12475"
"java","2013","1","13802"
"java","2013","2","13879"
"java","2013","3","16057"
"java","2013","4","16357"
"java","2013","5","15410"
"java","2013","6","14054"
"java","2013","7","15292"
"java","2013","8","15135"
"java","2013","9","16352"
"java","2013","10","18858"
"java","2013","11","18868"
"java","2013","12","17557"
"java","2014","1","18797"
"java","2014","2","19408"
"java","2014","3","22147"
"java","2014","4","21047"
"java","2014","5","18110"
"java","2014","6","16047"
"java","2014","7","17492"
"java","2014","8","15851"
"java","2014","9","16850"
"java","2014","10","18041"
"java","2014","11","17983"
"java","2014","12","16502"
"java","2015","1","16667"
"java","2015","2","16866"
"java","2015","3","19881"
"java","2015","4","19916"
"java","2015","5","18634"
"java","2015","6","17950"
"java","2015","7","18795"
"java","2015","8","17172"
"java","2015","9","17037"
"java","2015","10","18627"
"java","2015","11","17883"
"java","2015","12","16639"
"java","2016","1","16729"
"java","2016","2","17936"
"java","2016","3","20031"
"java","2016","4","19602"
"java","2016","5","17163"
"java","2016","6","16017"
"java","2016","7","15027"
"java","2016","8","15253"
"java","2016","9","14756"
"java","2016","10","15424"
"java","2016","11","15738"
"java","2016","12","13918"
"java","2017","1","14651"
"java","2017","2","14655"
"java","2017","3","17419"
"java","2017","4","16012"
"java","2017","5","16434"
"java","2017","6","14697"
"java","2017","7","14235"
"java","2017","8","13793"
"java","2017","9","12834"
"java","2017","10","14091"
"java","2017","11","14292"
"java","2017","12","12081"
"java","2018","1","12412"
"java","2018","2","12102"
"java","2018","3","13635"
"java","2018","4","13569"
"java","2018","5","13557"
"java","2018","6","11885"
"java","2018","7","11870"
"java","2018","8","11479"
"java","2018","9","12037"
"java","2018","10","14458"
"java","2018","11","13550"
"java","2018","12","12068"
"java","2019","1","12812"
"java","2019","2","12683"
"java","2019","3","14132"
"java","2019","4","13280"
"java","2019","5","13199"
"java","2019","6","11372"
"java","2019","7","12833"
"java","2019","8","11478"
"java","2019","9","3114"
"python","2008","8","124"
"python","2008","9","543"
"python","2008","10","511"
"python","2008","11","453"
"python","2008","12","441"
"python","2009","1","631"
"python","2009","2","631"
"python","2009","3","765"
"python","2009","4","768"
"python","2009","5","1002"
"python","2009","6","1046"
"python","2009","7","1163"
"python","2009","8","1141"
"python","2009","9","1168"
"python","2009","10","1422"
"python","2009","11","1560"
"python","2009","12","1590"
"python","2010","1","1952"
"python","2010","2","1867"
"python","2010","3","2072"
"python","2010","4","1817"
"python","2010","5","2011"
"python","2010","6","2208"
"python","2010","7","2600"
"python","2010","8","2494"
"python","2010","9","2254"
"python","2010","10","2669"
"python","2010","11","2617"
"python","2010","12","2484"
"python","2011","1","2912"
"python","2011","2","3021"
"python","2011","3","3758"
"python","2011","4","3350"
"python","2011","5","3532"
"python","2011","6","3479"
"python","2011","7","3679"
"python","2011","8","3842"
"python","2011","9","3526"
"python","2011","10","3636"
"python","2011","11","3884"
"python","2011","12","3634"
"python","2012","1","4223"
"python","2012","2","4515"
"python","2012","3","5069"
"python","2012","4","4941"
"python","2012","5","5127"
"python","2012","6","5296"
"python","2012","7","5748"
"python","2012","8","5880"
"python","2012","9","5269"
"python","2012","10","6148"
"python","2012","11","6409"
"python","2012","12","5772"
"python","2013","1","6607"
"python","2013","2","6791"
"python","2013","3","7680"
"python","2013","4","7976"
"python","2013","5","7851"
"python","2013","6","7639"
"python","2013","7","8652"
"python","2013","8","7970"
"python","2013","9","7995"
"python","2013","10","9535"
"python","2013","11","9532"
"python","2013","12","8495"
"python","2014","1","9877"
"python","2014","2","9950"
"python","2014","3","11471"
"python","2014","4","10827"
"python","2014","5","9315"
"python","2014","6","8964"
"python","2014","7","9989"
"python","2014","8","9159"
"python","2014","9","8822"
"python","2014","10","9638"
"python","2014","11","9627"
"python","2014","12","9091"
"python","2015","1","9741"
"python","2015","2","10245"
"python","2015","3","11672"
"python","2015","4","11512"
"python","2015","5","11262"
"python","2015","6","11858"
"python","2015","7","12377"
"python","2015","8","11279"
"python","2015","9","11021"
"python","2015","10","12553"
"python","2015","11","12360"
"python","2015","12","11697"
"python","2016","1","12408"
"python","2016","2","13311"
"python","2016","3","14144"
"python","2016","4","13732"
"python","2016","5","13191"
"python","2016","6","12979"
"python","2016","7","12894"
"python","2016","8","12965"
"python","2016","9","12403"
"python","2016","10","13574"
"python","2016","11","14254"
"python","2016","12","13097"
"python","2017","1","14346"
"python","2017","2","14849"
"python","2017","3","17210"
"python","2017","4","15717"
"python","2017","5","16244"
"python","2017","6","16110"
"python","2017","7","17004"
"python","2017","8","16541"
"python","2017","9","15530"
"python","2017","10","17051"
"python","2017","11","17072"
"python","2017","12","15036"
"python","2018","1","16320"
"python","2018","2","16427"
"python","2018","3","18016"
"python","2018","4","17060"
"python","2018","5","17701"
"python","2018","6","16902"
"python","2018","7","18018"
"python","2018","8","17909"
"python","2018","9","17463"
"python","2018","10","20286"
"python","2018","11","20242"
"python","2018","12","17692"
"python","2019","1","18996"
"python","2019","2","19708"
"python","2019","3","22595"
"python","2019","4","22484"
"python","2019","5","21715"
"python","2019","6","20027"
"python","2019","7","22825"
"python","2019","8","21568"
"python","2019","9","4919"
"javascript","2008","8","161"
"javascript","2008","9","640"
"javascript","2008","10","725"
"javascript","2008","11","579"
"javascript","2008","12","626"
"javascript","2009","1","792"
"javascript","2009","2","949"
"javascript","2009","3","1006"
"javascript","2009","4","1049"
"javascript","2009","5","1433"
"javascript","2009","6","1556"
"javascript","2009","7","1748"
"javascript","2009","8","1858"
"javascript","2009","9","1748"
"javascript","2009","10","2042"
"javascript","2009","11","2228"
"javascript","2009","12","2304"
"javascript","2010","1","2617"
"javascript","2010","2","2632"
"javascript","2010","3","2985"
"javascript","2010","4","3004"
"javascript","2010","5","3217"
"javascript","2010","6","3464"
"javascript","2010","7","3868"
"javascript","2010","8","4000"
"javascript","2010","9","3997"
"javascript","2010","10","4117"
"javascript","2010","11","4546"
"javascript","2010","12","4954"
"javascript","2011","1","5451"
"javascript","2011","2","5617"
"javascript","2011","3","6781"
"javascript","2011","4","6913"
"javascript","2011","5","7327"
"javascript","2011","6","7713"
"javascript","2011","7","8136"
"javascript","2011","8","8938"
"javascript","2011","9","8233"
"javascript","2011","10","8070"
"javascript","2011","11","8719"
"javascript","2011","12","8364"
"javascript","2012","1","9645"
"javascript","2012","2","10054"
"javascript","2012","3","10777"
"javascript","2012","4","10751"
"javascript","2012","5","11595"
"javascript","2012","6","11311"
"javascript","2012","7","12405"
"javascript","2012","8","12480"
"javascript","2012","9","11200"
"javascript","2012","10","12455"
"javascript","2012","11","12374"
"javascript","2012","12","11762"
"javascript","2013","1","13871"
"javascript","2013","2","13828"
"javascript","2013","3","15447"
"javascript","2013","4","15472"
"javascript","2013","5","15130"
"javascript","2013","6","14691"
"javascript","2013","7","16925"
"javascript","2013","8","16922"
"javascript","2013","9","17838"
"javascript","2013","10","19864"
"javascript","2013","11","18617"
"javascript","2013","12","18140"
"javascript","2014","1","21236"
"javascript","2014","2","21296"
"javascript","2014","3","22827"
"javascript","2014","4","21610"
"javascript","2014","5","19955"
"javascript","2014","6","18464"
"javascript","2014","7","20288"
"javascript","2014","8","18618"
"javascript","2014","9","18260"
"javascript","2014","10","19051"
"javascript","2014","11","18105"
"javascript","2014","12","17124"
"javascript","2015","1","18653"
"javascript","2015","2","18773"
"javascript","2015","3","20653"
"javascript","2015","4","21018"
"javascript","2015","5","22267"
"javascript","2015","6","22715"
"javascript","2015","7","24111"
"javascript","2015","8","22243"
"javascript","2015","9","21532"
"javascript","2015","10","21925"
"javascript","2015","11","21368"
"javascript","2015","12","21187"
"javascript","2016","1","22617"
"javascript","2016","2","22580"
"javascript","2016","3","24199"
"javascript","2016","4","23549"
"javascript","2016","5","23104"
"javascript","2016","6","22265"
"javascript","2016","7","22285"
"javascript","2016","8","22768"
"javascript","2016","9","20519"
"javascript","2016","10","20542"
"javascript","2016","11","20607"
"javascript","2016","12","19898"
"javascript","2017","1","21493"
"javascript","2017","2","21266"
"javascript","2017","3","23791"
"javascript","2017","4","21334"
"javascript","2017","5","22483"
"javascript","2017","6","21678"
"javascript","2017","7","21701"
"javascript","2017","8","21468"
"javascript","2017","9","19091"
"javascript","2017","10","19984"
"javascript","2017","11","19501"
"javascript","2017","12","17079"
"javascript","2018","1","19053"
"javascript","2018","2","17327"
"javascript","2018","3","19242"
"javascript","2018","4","18066"
"javascript","2018","5","18166"
"javascript","2018","6","17300"
"javascript","2018","7","17923"
"javascript","2018","8","18042"
"javascript","2018","9","17667"
"javascript","2018","10","19694"
"javascript","2018","11","18388"
"javascript","2018","12","16158"
"javascript","2019","1","18080"
"javascript","2019","2","17820"
"javascript","2019","3","19670"
"javascript","2019","4","18509"
"javascript","2019","5","18440"
"javascript","2019","6","16980"
"javascript","2019","7","18742"
"javascript","2019","8","18275"
"javascript","2019","9","4448"
"c#","2008","7","3"
"c#","2008","8","513"
"c#","2008","9","1649"
"c#","2008","10","1990"
"c#","2008","11","1731"
"c#","2008","12","1594"
"c#","2009","1","2376"
"c#","2009","2","2597"
"c#","2009","3","3161"
"c#","2009","4","3323"
"c#","2009","5","3561"
"c#","2009","6","3886"
"c#","2009","7","4408"
"c#","2009","8","4459"
"c#","2009","9","4358"
"c#","2009","10","4727"
"c#","2009","11","4681"
"c#","2009","12","4496"
"c#","2010","1","5119"
"c#","2010","2","5105"
"c#","2010","3","6041"
"c#","2010","4","5786"
"c#","2010","5","5947"
"c#","2010","6","6161"
"c#","2010","7","6692"
"c#","2010","8","6970"
"c#","2010","9","6409"
"c#","2010","10","6748"
"c#","2010","11","7325"
"c#","2010","12","7118"
"c#","2011","1","8022"
"c#","2011","2","8257"
"c#","2011","3","10038"
"c#","2011","4","9328"
"c#","2011","5","10077"
"c#","2011","6","9816"
"c#","2011","7","9659"
"c#","2011","8","10110"
"c#","2011","9","9350"
"c#","2011","10","9261"
"c#","2011","11","9951"
"c#","2011","12","9360"
"c#","2012","1","10513"
"c#","2012","2","10849"
"c#","2012","3","11710"
"c#","2012","4","11216"
"c#","2012","5","11670"
"c#","2012","6","11393"
"c#","2012","7","12404"
"c#","2012","8","12007"
"c#","2012","9","11311"
"c#","2012","10","12769"
"c#","2012","11","12274"
"c#","2012","12","10991"
"c#","2013","1","12854"
"c#","2013","2","12658"
"c#","2013","3","14368"
"c#","2013","4","14001"
"c#","2013","5","13566"
"c#","2013","6","12876"
"c#","2013","7","14277"
"c#","2013","8","13919"
"c#","2013","9","13840"
"c#","2013","10","15271"
"c#","2013","11","14673"
"c#","2013","12","13694"
"c#","2014","1","15420"
"c#","2014","2","15192"
"c#","2014","3","16303"
"c#","2014","4","15425"
"c#","2014","5","14021"
"c#","2014","6","12621"
"c#","2014","7","13800"
"c#","2014","8","12591"
"c#","2014","9","12429"
"c#","2014","10","12664"
"c#","2014","11","11962"
"c#","2014","12","11196"
"c#","2015","1","11844"
"c#","2015","2","11869"
"c#","2015","3","13348"
"c#","2015","4","13183"
"c#","2015","5","13457"
"c#","2015","6","13627"
"c#","2015","7","14209"
"c#","2015","8","13310"
"c#","2015","9","12980"
"c#","2015","10","12858"
"c#","2015","11","12455"
"c#","2015","12","12223"
"c#","2016","1","12421"
"c#","2016","2","12812"
"c#","2016","3","13693"
"c#","2016","4","13808"
"c#","2016","5","13579"
"c#","2016","6","13145"
"c#","2016","7","12083"
"c#","2016","8","12800"
"c#","2016","9","11182"
"c#","2016","10","11522"
"c#","2016","11","11720"
"c#","2016","12","10755"
"c#","2017","1","11772"
"c#","2017","2","11574"
"c#","2017","3","13075"
"c#","2017","4","11159"
"c#","2017","5","12073"
"c#","2017","6","11387"
"c#","2017","7","11284"
"c#","2017","8","11034"
"c#","2017","9","9960"
"c#","2017","10","10309"
"c#","2017","11","9889"
"c#","2017","12","8691"
"c#","2018","1","9478"
"c#","2018","2","8660"
"c#","2018","3","9892"
"c#","2018","4","9329"
"c#","2018","5","10036"
"c#","2018","6","8870"
"c#","2018","7","9492"
"c#","2018","8","9615"
"c#","2018","9","9201"
"c#","2018","10","10413"
"c#","2018","11","9526"
"c#","2018","12","8455"
"c#","2019","1","9826"
"c#","2019","2","9484"
"c#","2019","3","10113"
"c#","2019","4","10434"
"c#","2019","5","10309"
"c#","2019","6","8692"
"c#","2019","7","9734"
"c#","2019","8","9207"
"c#","2019","9","2400"
"ruby","2008","8","73"
"ruby","2008","9","291"
"ruby","2008","10","250"
"ruby","2008","11","160"
"ruby","2008","12","161"
"ruby","2009","1","209"
"ruby","2009","2","287"
"ruby","2009","3","330"
"ruby","2009","4","358"
"ruby","2009","5","402"
"ruby","2009","6","433"
"ruby","2009","7","501"
"ruby","2009","8","485"
"ruby","2009","9","477"
"ruby","2009","10","493"
"ruby","2009","11","655"
"ruby","2009","12","573"
"ruby","2010","1","687"
"ruby","2010","2","689"
"ruby","2010","3","697"
"ruby","2010","4","753"
"ruby","2010","5","776"
"ruby","2010","6","853"
"ruby","2010","7","911"
"ruby","2010","8","995"
"ruby","2010","9","939"
"ruby","2010","10","925"
"ruby","2010","11","929"
"ruby","2010","12","1023"
"ruby","2011","1","1207"
"ruby","2011","2","1255"
"ruby","2011","3","1640"
"ruby","2011","4","1478"
"ruby","2011","5","1567"
"ruby","2011","6","1563"
"ruby","2011","7","1590"
"ruby","2011","8","1868"
"ruby","2011","9","1554"
"ruby","2011","10","1619"
"ruby","2011","11","1742"
"ruby","2011","12","1696"
"ruby","2012","1","1917"
"ruby","2012","2","2053"
"ruby","2012","3","2204"
"ruby","2012","4","1989"
"ruby","2012","5","1987"
"ruby","2012","6","1897"
"ruby","2012","7","2075"
"ruby","2012","8","2074"
"ruby","2012","9","1956"
"ruby","2012","10","2265"
"ruby","2012","11","2135"
"ruby","2012","12","1909"
"ruby","2013","1","2313"
"ruby","2013","2","2239"
"ruby","2013","3","2574"
"ruby","2013","4","2474"
"ruby","2013","5","2353"
"ruby","2013","6","2227"
"ruby","2013","7","2449"
"ruby","2013","8","2490"
"ruby","2013","9","2400"
"ruby","2013","10","2793"
"ruby","2013","11","2577"
"ruby","2013","12","2455"
"ruby","2014","1","2774"
"ruby","2014","2","2619"
"ruby","2014","3","2957"
"ruby","2014","4","2752"
"ruby","2014","5","2686"
"ruby","2014","6","2341"
"ruby","2014","7","2567"
"ruby","2014","8","2480"
"ruby","2014","9","2282"
"ruby","2014","10","2350"
"ruby","2014","11","2119"
"ruby","2014","12","2159"
"ruby","2015","1","2436"
"ruby","2015","2","2265"
"ruby","2015","3","2468"
"ruby","2015","4","2506"
"ruby","2015","5","2513"
"ruby","2015","6","2580"
"ruby","2015","7","2589"
"ruby","2015","8","2323"
"ruby","2015","9","2169"
"ruby","2015","10","2199"
"ruby","2015","11","1965"
"ruby","2015","12","2033"
"ruby","2016","1","2151"
"ruby","2016","2","2251"
"ruby","2016","3","2267"
"ruby","2016","4","2221"
"ruby","2016","5","2134"
"ruby","2016","6","2114"
"ruby","2016","7","1910"
"ruby","2016","8","1885"
"ruby","2016","9","1931"
"ruby","2016","10","1830"
"ruby","2016","11","1766"
"ruby","2016","12","1635"
"ruby","2017","1","1827"
"ruby","2017","2","1636"
"ruby","2017","3","1790"
"ruby","2017","4","1489"
"ruby","2017","5","1522"
"ruby","2017","6","1423"
"ruby","2017","7","1526"
"ruby","2017","8","1398"
"ruby","2017","9","1226"
"ruby","2017","10","1302"
"ruby","2017","11","1180"
"ruby","2017","12","1021"
"ruby","2018","1","1165"
"ruby","2018","2","1031"
"ruby","2018","3","1065"
"ruby","2018","4","995"
"ruby","2018","5","1036"
"ruby","2018","6","998"
"ruby","2018","7","944"
"ruby","2018","8","885"
"ruby","2018","9","850"
"ruby","2018","10","984"
"ruby","2018","11","901"
"ruby","2018","12","865"
"ruby","2019","1","972"
"ruby","2019","2","838"
"ruby","2019","3","874"
"ruby","2019","4","828"
"ruby","2019","5","817"
"ruby","2019","6","756"
"ruby","2019","7","829"
"ruby","2019","8","859"
"ruby","2019","9","209"
"c","2008","8","85"
"c","2008","9","320"
"c","2008","10","303"
"c","2008","11","259"
"c","2008","12","185"
"c","2009","1","321"
"c","2009","2","332"
"c","2009","3","431"
"c","2009","4","459"
"c","2009","5","480"
"c","2009","6","505"
"c","2009","7","542"
"c","2009","8","532"
"c","2009","9","572"
"c","2009","10","775"
"c","2009","11","969"
"c","2009","12","851"
"c","2010","1","983"
"c","2010","2","1034"
"c","2010","3","1118"
"c","2010","4","1186"
"c","2010","5","1179"
"c","2010","6","1158"
"c","2010","7","1288"
"c","2010","8","1371"
"c","2010","9","1383"
"c","2010","10","1446"
"c","2010","11","1676"
"c","2010","12","1469"
"c","2011","1","1465"
"c","2011","2","1642"
"c","2011","3","2110"
"c","2011","4","2043"
"c","2011","5","1825"
"c","2011","6","1769"
"c","2011","7","1659"
"c","2011","8","1825"
"c","2011","9","1919"
"c","2011","10","2142"
"c","2011","11","2204"
"c","2011","12","2012"
"c","2012","1","2236"
"c","2012","2","2419"
"c","2012","3","2745"
"c","2012","4","2673"
"c","2012","5","2491"
"c","2012","6","2322"
"c","2012","7","2382"
"c","2012","8","2330"
"c","2012","9","2536"
"c","2012","10","3155"
"c","2012","11","3196"
"c","2012","12","2577"
"c","2013","1","2916"
"c","2013","2","3117"
"c","2013","3","3466"
"c","2013","4","3563"
"c","2013","5","3217"
"c","2013","6","2964"
"c","2013","7","3029"
"c","2013","8","3017"
"c","2013","9","3410"
"c","2013","10","4254"
"c","2013","11","4302"
"c","2013","12","3514"
"c","2014","1","3756"
"c","2014","2","3991"
"c","2014","3","4595"
"c","2014","4","4034"
"c","2014","5","3284"
"c","2014","6","2789"
"c","2014","7","2855"
"c","2014","8","2693"
"c","2014","9","3254"
"c","2014","10","3828"
"c","2014","11","3701"
"c","2014","12","3171"
"c","2015","1","3229"
"c","2015","2","3386"
"c","2015","3","3930"
"c","2015","4","3966"
"c","2015","5","3532"
"c","2015","6","3175"
"c","2015","7","2825"
"c","2015","8","2586"
"c","2015","9","3105"
"c","2015","10","3694"
"c","2015","11","3633"
"c","2015","12","3103"
"c","2016","1","3062"
"c","2016","2","3291"
"c","2016","3","3472"
"c","2016","4","3369"
"c","2016","5","2736"
"c","2016","6","2315"
"c","2016","7","2357"
"c","2016","8","2226"
"c","2016","9","2525"
"c","2016","10","3228"
"c","2016","11","3281"
"c","2016","12","2810"
"c","2017","1","2775"
"c","2017","2","2741"
"c","2017","3","2986"
"c","2017","4","2874"
"c","2017","5","2753"
"c","2017","6","2375"
"c","2017","7","2064"
"c","2017","8","2062"
"c","2017","9","2113"
"c","2017","10","2810"
"c","2017","11","2975"
